from,to,bayes-factor,posterior-probability
USA:VT,USA:CT_West,0.427775585,0.11595008
USA:CT_East,USA:NY,0.446883123,0.120505129
USA:NY,USA:ME,0.457688895,0.123060401
USA:VT,USA:ME,0.556857387,0.145835648
USA:VT,USA:CT_East,0.677249381,0.171943858
USA:ME,USA:CT_West,0.743886952,0.185720105
USA:ME,USA:NY,0.776576759,0.192311965
USA:CT_West,USA:VT,0.948370133,0.225271266
USA:CT_West,USA:NY,1.012936687,0.23697367
USA:CT_West,USA:ME,1.224112977,0.272895604
USA:ME,USA:CT_East,1.419120318,0.303188535
USA:CT_West,USA:CT_East,2.242571236,0.407436211
USA:ME,USA:VT,3.408504181,0.511017294
USA:NY,USA:CT_East,10.50604065,0.763100396
USA:CT_East,USA:ME,21.90165776,0.870384772
USA:VT,USA:NY,134.9977554,0.976410029
USA:CT_East,USA:VT,2932.444017,0.998889012
USA:NY,USA:VT,3825.919619,0.999148243
USA:NY,USA:CT_West,88067.90495,0.999962967
USA:CT_East,USA:CT_West,88067.90495,1
