from,to,bayes-factor,posterior-probability
USA:NY,USA:ME,0.220193321,0.040069622
USA:NY,Canada:NB,0.265292566,0.047883568
USA:CT,Canada:QC,0.422183222,0.074102877
USA:ME,Canada:QC,0.487875602,0.08465726
USA:ME,Canada:ON,0.491375087,0.085212754
USA:CT,Canada:NB,0.492542526,0.085397919
USA:ME,USA:CT,0.504711976,0.087323631
USA:ME,USA:NY,0.508466761,0.087916157
USA:ME,USA:VT,0.533939723,0.091915713
USA:VT,USA:CT,0.637870205,0.107876903
USA:VT,USA:ME,0.641308535,0.108395363
USA:VT,Canada:NB,0.686123994,0.115098322
Canada:QC,USA:ME,0.747878486,0.124171388
Canada:QC,USA:NY,0.788903286,0.130096656
Canada:QC,USA:CT,0.798987937,0.13154094
Canada:QC,Canada:NB,0.804951034,0.132392697
Canada:NB,Canada:QC,0.837565,0.137021812
USA:CT,Canada:ON,0.850445337,0.138836426
Canada:NB,USA:VT,0.881953308,0.143243343
Canada:NB,USA:CT,0.889947718,0.144354331
Canada:NB,USA:NY,0.892884206,0.144761693
Canada:NB,Canada:ON,0.894219898,0.144946858
Canada:ON,USA:VT,0.998282257,0.159130467
Canada:ON,Canada:QC,1.019072403,0.161907936
Canada:QC,Canada:ON,1.101345155,0.172721549
Canada:ON,USA:NY,1.124549847,0.175721216
USA:VT,Canada:ON,1.252712443,0.191904603
Canada:ON,USA:CT,1.335108757,0.201977558
Canada:ON,USA:ME,1.362522846,0.205273488
Canada:ON,Canada:NB,1.410813278,0.211013591
Canada:NB,USA:ME,1.728014955,0.246750361
USA:VT,USA:NY,2.280773163,0.301855349
USA:NY,Canada:ON,16.52517731,0.758026886
USA:NY,Canada:QC,57.58584654,0.916083398
Canada:QC,USA:VT,298.441019,0.982631559
USA:CT,USA:VT,318.4586706,0.983705514
USA:CT,USA:NY,536.3327123,0.990260341
USA:NY,USA:VT,4589.655507,0.998851979
USA:VT,Canada:QC,142437.573,0.999962967
USA:CT,USA:ME,142437.573,1
USA:ME,Canada:NB,142437.573,1
USA:NY,USA:CT,142437.573,1
